month,breached,closed,breach_rate
2024-01-01,4,8,50.0
2024-02-01,5,9,55.56
2024-03-01,11,12,91.67
2024-04-01,7,9,77.78
2024-05-01,7,11,63.64
2024-06-01,7,10,70.0
2024-07-01,3,5,60.0
2024-08-01,8,8,100.0
2024-09-01,6,8,75.0
2024-10-01,6,7,85.71
2024-11-01,7,10,70.0
2024-12-01,4,9,44.44
2025-01-01,6,9,66.67
2025-02-01,3,6,50.0
2025-03-01,3,7,42.86
2025-04-01,4,5,80.0
2025-05-01,6,9,66.67
2025-06-01,3,7,42.86
2025-07-01,5,7,71.43
2025-08-01,3,4,75.0
2025-09-01,3,7,42.86
2025-10-01,1,3,33.33
2025-11-01,1,4,25.0
2025-12-01,1,1,100.0
